warehouseconfiguration$bookingwindowid,crm$carrierid
33495522228581086,18014398509482702
33495522228581133,18014398509488476
33495522228581589,18014398509489309
33495522228581652,18014398509489441
33495522228581836,18014398509486382
33495522228606603,18014398509482365
33495522228619486,18014398509484564
33495522228632480,18014398509597665
33495522228632664,18014398509508120
33495522228645219,18014398509489537
